,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Unnamed: 64,Unnamed: 65
47676,Malik Johnson,Canisius,MAAC,32,87.7,99.8,18.4,45.0,49.83,1.8,12.6,25.9,20.9,72,99,0.727,67,149,0.45,34,113,0.301,0.3,2.8,37.8,Jr,10-May,1,1.08535,96.3723,2.8,2019,44517,all,,2.06664388,43.0,78.0,24.0,71.0,0.5513,0.338,0.0,1.0,0.0,,106.451,109.336,2.45002,206.658,-1.38906,-0.134198,-1.25486,-1.9849,35.5,-1.55698,-0.427914,0.5625,3.625,4.1875,4.8438,1.7188,0.0938,9.625,Scoring PG,5.80431
47680,Jon Axel Gudmundsson,Davidson,A10,33,92.6,115.5,25.3,53.6,60.15,2.5,20.0,27.5,16.3,161,195,0.826,115,213,0.54,58,164,0.354,0.3,2.1,51.7,Jr,4-Jun,3,4.81528,124.921,1.7,2019,44542,all,,1.9523599,95.0,152.0,20.0,61.0,0.625,0.3279,2.0,2.0,1.0,,97.5846,96.3786,4.25187,245.167,6.07335,4.37267,1.70068,6.78016,36.7941,4.90627,1.87389,0.7353,6.5588,7.2941,4.8235,1.3235,0.0882,16.9118,Combo G,8.12206
47699,Morgan Means,Seattle,WAC,31,87.8,103.8,21.5,47.2,53.71,2.1,11.7,15.2,18.1,111,131,0.847,73,180,0.406,58,159,0.365,0.1,1.8,38.6,Jr,3-Jun,13,1.95789,103.517,4.0,2019,44696,all,,1.20002474,44.0,91.0,29.0,89.0,0.4835,0.3258,1.0,1.0,1.0,,101.669,102.719,3.27895,187.003,0.850371,0.476904,0.373467,-0.252513,35.3939,-0.977777,0.725264,0.6667,3.6667,4.3333,2.9091,1.2424,0.0303,14.0303,Combo G,8.34808
47712,Jermaine Marrow,Hampton,BSth,32,90.7,107.1,33.2,47.8,53.9,2.3,9.3,28.3,14.6,203,252,0.806,169,381,0.444,79,221,0.357,0.6,2.3,41.9,Jr,Jun-00,2,4.21681,120.959,3.6,2019,44719,all,,1.54054995,115.0,217.0,54.0,164.0,0.53,0.3293,0.0,0.0,,,106.931,108.562,2.63034,212.852,1.86313,4.10958,-2.24646,3.04226,36.4286,4.13426,-1.092,0.7429,3.3143,4.0571,4.8857,1.6,0.1714,24.4,Scoring PG,10.3242
47763,James Palmer Jr.,Nebraska,B10,35,88.3,102.4,31.1,42.6,49.71,3.3,9.5,17.7,11.7,211,278,0.759,143,355,0.403,65,209,0.311,1.2,2.4,49.3,Sr,6-Jun,0,4.53175,124.452,2.5,2019,45002,all,79.2,1.38959272,125.0,220.0,18.0,135.0,0.5682,0.1333,17.0,18.0,0.9444,,102.716,97.3587,3.93219,208.458,2.91071,3.52892,-0.618214,4.49926,35.1944,4.13095,0.36831,1.0833,3.0833,4.1667,2.9722,1.4444,0.3889,19.6667,Wing G,9.99143
47816,Shamorie Ponds,St. John's,BE,33,84.3,116.8,27.6,52.2,57.73,3.1,10.3,29.0,11.3,153,183,0.836,151,292,0.517,65,184,0.353,0.9,4.1,38.4,Jr,1-Jun,2,5.32798,131.673,2.3,2019,45291,all,91.2,2.58460679,102.0,172.0,49.0,119.0,0.593,0.4118,2.0,2.0,1.0,,100.911,97.619,3.85622,235.262,8.08504,6.98346,1.10158,9.30567,35.1212,6.54934,2.75633,0.9697,3.1515,4.1212,5.0909,2.6061,0.2727,19.697,Scoring PG,8.8852
47818,Charlie Brown,Saint Joseph's,A10,32,86.0,108.0,27.3,49.7,55.12,6.4,13.1,10.1,11.1,136,161,0.845,142,300,0.473,63,176,0.358,2.7,1.7,33.8,So,7-Jun,2,4.09976,120.752,2.9,2019,45306,all,,0.81353728,78.0,118.0,62.0,177.0,0.661,0.3503,9.0,12.0,0.75,,105.947,106.547,2.82129,206.233,2.27917,3.04749,-0.768314,3.52847,35.625,4.26446,-0.735985,2.0625,4.0938,6.1562,1.5,1.0625,0.7812,19.0312,Wing F,9.01164
47864,Max Strus,DePaul,BE,35,90.3,115.8,23.4,53.3,57.49,3.5,14.7,11.3,12.7,128,152,0.842,119,230,0.517,113,311,0.363,1.6,1.4,28.1,Sr,6-Jun,31,4.67559,123.716,3.1,2019,45565,all,,1.10000002,74.0,110.0,45.0,120.0,0.6727,0.375,13.0,15.0,0.8667,,108.582,105.904,3.06655,225.679,3.23316,4.83783,-1.60467,3.3906,37.4286,4.58055,-1.18995,1.1143,4.8,5.9143,2.2,0.9429,0.4857,20.1429,Wing G,13.1871
47866,Myles Powell,Seton Hall,BE,34,88.9,112.0,29.5,54.2,59.23,2.4,10.3,18.4,15.8,173,206,0.84,145,269,0.539,107,295,0.363,0.6,3.2,36.5,Jr,2-Jun,13,5.24658,129.956,2.5,2019,45572,all,84.0,0.99000404,117.0,192.0,28.0,77.0,0.6094,0.3636,8.0,10.0,0.8,,101.583,96.9641,4.01161,233.444,6.96419,6.10171,0.862478,9.48728,35.9706,7.2686,2.21869,0.7647,3.2353,4.0,2.9118,2.0,0.1765,23.0588,Combo G,13.7325
47921,Josh Sharkey,Samford,SC,32,86.0,100.0,30.3,48.8,54.77,2.0,9.8,38.9,26.2,152,204,0.745,145,293,0.495,29,93,0.312,0.1,4.3,52.8,Jr,10-May,3,2.71001,110.159,3.0,2019,45909,all,14.6,1.44848003,109.0,192.0,36.0,101.0,0.5677,0.3564,0.0,0.0,,,101.62,100.807,3.42034,238.092,1.51885,1.06399,0.454856,1.84233,35.3939,0.986654,0.85568,0.5758,3.2727,3.8485,7.2424,2.6061,0.0606,16.3333,Pure PG,4.59397
47963,Eli Pemberton,Hofstra,CAA,34,85.9,115.2,21.9,51.2,57.86,4.9,11.8,11.7,13.2,161,210,0.767,110,218,0.505,43,123,0.35,0.3,1.4,61.6,Jr,5-Jun,5,3.24419,114.682,2.6,2019,46158,all,,1.32201932,70.0,119.0,40.0,99.0,0.5882,0.404,3.0,5.0,0.6,,108.138,109.74,2.34982,188.047,0.456177,2.73201,-2.27583,-0.419741,35.3529,1.57694,-1.99668,1.3235,3.5,4.8235,2.2941,0.8529,0.0882,15.0,Wing G,6.04805
47976,Shizz Alston Jr.,Temple,Amer,33,90.6,111.0,27.2,50.2,55.81,1.5,7.1,28.4,14.5,138,152,0.908,108,228,0.474,99,283,0.35,0.5,2.3,29.7,Sr,4-Jun,10,4.72179,125.008,2.1,2019,46210,all,75.0,1.97615402,40.0,53.0,68.0,175.0,0.7547,0.3886,6.0,6.0,1.0,,103.948,101.103,3.56561,196.484,4.96758,5.6265,-0.658926,6.21011,36.7879,5.83221,0.377901,0.5152,2.2424,2.7576,5.0303,1.4848,0.1515,19.7273,Scoring PG,13.2862
47983,Sa'eed Nelson,American,Pat,30,89.8,108.6,30.5,54.0,58.58,3.4,14.7,31.2,19.2,163,227,0.718,177,315,0.562,26,85,0.306,1.5,3.8,56.8,Jr,2-Jun,0,3.86514,118.484,2.5,2019,46276,all,,1.42204051,139.0,225.0,26.0,62.0,0.6178,0.4194,1.0,1.0,1.0,,97.9202,100.893,3.56838,215.274,4.14167,2.90878,1.23289,5.29332,36.5,3.582,1.71132,0.9667,4.6,5.5667,5.1667,2.3667,0.5333,19.8333,Scoring PG,4.62063
48006,Tarkus Ferguson,Illinois Chicago,Horz,30,91.0,104.2,23.8,53.6,56.16,1.4,18.5,26.7,21.0,66,87,0.759,60,119,0.504,95,259,0.367,2.4,2.2,23.0,Jr,4-Jun,4,2.41762,106.593,2.5,2019,46400,all,11.2,1.61162542,42.0,72.0,18.0,47.0,0.5833,0.383,6.0,6.0,1.0,,101.233,100.518,3.65655,232.317,3.84538,1.93481,1.91057,4.16322,36.5,2.96608,1.19713,0.4375,6.3125,6.75,5.1875,1.4688,0.8125,15.4688,Combo G,13.0791
48014,Ky Bowman,Boston College,ACC,31,96.7,103.8,26.4,48.6,52.72,2.3,18.2,22.9,16.0,118,155,0.761,117,274,0.427,79,211,0.374,1.6,2.1,32.0,Jr,1-Jun,0,3.94594,116.843,2.7,2019,46510,all,35.4,1.40449318,77.0,137.0,40.0,137.0,0.562,0.292,8.0,9.0,0.8889,,101.765,97.9857,4.22625,249.957,4.74914,3.20724,1.5419,4.97523,39.3226,3.67694,1.29829,0.8387,6.6774,7.5161,4.0323,1.3871,0.5806,19.0,Combo G,10.0665
48030,Desmond Bane,TCU,B12,37,87.7,121.8,18.4,58.2,60.72,4.4,13.9,13.6,11.7,65,75,0.867,147,268,0.549,68,160,0.425,1.6,1.8,17.5,Jr,5-Jun,1,4.61955,125.423,2.6,2019,46595,all,,1.81635577,104.0,150.0,43.0,118.0,0.6933,0.3644,11.0,11.0,1.0,30.0,100.252,94.9214,4.20249,237.556,7.03068,4.56059,2.47009,7.01536,35.5405,4.5834,2.43197,1.3243,4.3784,5.7027,2.4054,1.1351,0.5405,15.2162,Wing G,7.01418
48057,Triston Simpson,South Dakota,Sum,28,92.9,104.5,21.4,48.4,54.51,2.1,10.4,19.7,16.1,104,133,0.782,76,167,0.455,43,123,0.35,0.2,2.0,45.9,Jr,2-Jun,3,2.0714,103.524,2.4,2019,46816,all,,1.68752627,54.0,101.0,22.0,66.0,0.5347,0.3333,0.0,0.0,,,107.248,106.8,2.92132,173.386,0.161148,0.767985,-0.606837,-0.431341,37.1,-0.138373,-0.292968,0.6,3.0667,3.6667,3.6,1.2333,0.0667,13.9667,Combo G,6.91079
48069,Andrew Fleming,Maine,AE,27,78.6,95.9,23.9,51.4,52.27,6.1,18.5,20.6,19.9,52,94,0.553,126,242,0.521,24,73,0.329,3.0,1.9,29.8,Jr,7-Jun,0,1.50095,99.4856,2.7,2019,46923,all,,1.14287272,90.0,138.0,36.0,104.0,0.6522,0.3462,20.0,23.0,0.8696,,108.187,110.822,2.32566,174.424,-1.27279,-0.87547,-0.397318,-1.30924,36.5,0.0363239,-1.34556,1.8571,5.1786,7.0357,3.1429,1.2143,0.75,13.8214,Wing F,4.51609
48074,E.J. Crawford,Iona,MAAC,33,89.2,116.3,22.0,56.9,61.13,3.7,12.0,10.9,13.2,120,147,0.816,152,267,0.569,53,140,0.379,0.7,1.1,36.1,Jr,6-Jun,2,3.68975,117.271,2.4,2019,46975,all,,1.0,125.0,200.0,28.0,68.0,0.625,0.4118,3.0,3.0,1.0,,109.66,112.94,2.04433,192.951,-0.378435,2.06012,-2.43855,1.10685,35.6667,3.03944,-1.93259,1.1212,3.9394,5.0606,1.8485,0.697,0.2121,17.6667,Wing G,6.65724
48108,Devon Goodman,Penn,Ivy,30,87.8,104.6,19.9,56.0,57.64,2.5,8.2,12.8,18.0,52,76,0.684,97,174,0.557,56,149,0.376,0.7,2.8,23.5,Jr,Jun-00,12,2.22283,105.691,3.0,2019,47201,all,,1.0447879,93.0,153.0,4.0,21.0,0.6078,0.1905,3.0,3.0,1.0,,98.5966,99.0777,3.70392,197.364,2.83932,1.27637,1.56295,2.00654,35.5161,0.337288,1.66925,0.7742,2.5161,3.2903,2.2581,1.7097,0.2258,13.871,Combo G,8.08021
48115,Cameron Young,Quinnipiac,MAAC,31,87.7,116.8,29.2,59.4,63.57,3.3,13.0,13.6,16.2,180,235,0.766,118,223,0.529,104,238,0.437,0.9,1.9,51.0,Sr,6-Jun,1,4.72248,126.246,2.5,2019,47213,all,,0.65168931,86.0,140.0,32.0,83.0,0.6143,0.3855,7.0,8.0,0.875,,105.511,110.576,2.29892,195.546,1.78098,4.19965,-2.41867,5.40677,35.9355,6.67602,-1.26925,1.0,4.129,5.129,1.871,1.129,0.2903,23.4839,Wing G,12.703
48128,Justin Ravenel,Florida A&M,MEAC,29,89.2,118.0,18.1,59.2,62.37,1.2,6.5,8.0,12.8,64,74,0.865,50,114,0.439,93,206,0.451,0.3,1.3,23.1,Sr,1-Jun,21,2.90957,110.963,2.0,2019,47323,all,,0.95123244,14.0,31.0,36.0,83.0,0.4516,0.4337,1.0,1.0,1.0,,106.765,110.963,2.2985,129.743,0.139834,1.80047,-1.66064,1.63227,35.2903,2.55946,-0.927185,0.3226,1.9355,2.2581,1.2581,0.7742,0.0968,15.6129,Combo G,11.1685
48130,Carsen Edwards,Purdue,B10,36,87.3,108.0,34.8,49.0,54.09,1.3,10.7,18.3,15.5,185,221,0.837,142,323,0.44,135,380,0.355,1.0,2.3,31.4,Jr,1-Jun,3,6.00546,137.003,2.3,2019,47325,all,76.6,0.92035427,93.0,186.0,49.0,138.0,0.5,0.3551,2.0,7.0,0.2857,33.0,102.371,96.5821,3.98501,217.953,5.21965,5.61306,-0.393407,7.53716,35.4167,7.10743,0.429729,0.3889,3.2222,3.6111,2.8889,1.3333,0.2778,24.2778,Combo G,18.1706
48136,Brendan Barry,Dartmouth,Ivy,28,90.4,115.4,17.3,56.9,59.49,0.6,10.3,16.9,13.5,43,51,0.843,53,108,0.491,69,167,0.413,0.6,1.8,18.5,Jr,2-Jun,15,2.9481,110.943,1.7,2019,47402,all,,2.18176869,37.0,74.0,16.0,34.0,0.5,0.4706,0.0,0.0,,,108.244,109.701,2.48017,162.105,1.97555,2.94484,-0.969294,1.70423,35.6333,2.11054,-0.40631,0.2333,3.0,3.2333,3.2,1.1333,0.2333,13.2,Combo G,9.7274
48157,Payton Pritchard,Oregon,P12,38,88.3,112.7,21.4,49.9,54.34,3.0,9.8,25.8,15.9,93,111,0.838,102,202,0.505,65,198,0.328,0.3,3.1,27.8,Jr,2-Jun,3,3.69404,117.599,2.5,2019,47506,all,89.4,2.33333325,71.0,131.0,30.0,70.0,0.542,0.4286,1.0,1.0,1.0,26.0,96.3595,92.8308,4.48912,237.007,6.23616,4.21192,2.02424,5.67473,35.5526,2.85218,2.82255,0.8684,3.0,3.8684,4.6053,1.7895,0.0789,12.9474,Scoring PG,8.9836
48179,Alpha Diallo,Providence,BE,34,87.0,102.8,25.7,46.8,51.67,8.0,18.6,19.3,17.0,151,224,0.674,136,299,0.455,40,120,0.333,1.6,2.7,53.5,Jr,7-Jun,11,3.04589,112.681,2.9,2019,47641,all,76.8,1.16480473,88.0,148.0,48.0,151.0,0.5946,0.3179,10.0,10.0,1.0,,97.7482,93.5169,4.34032,246.661,5.86658,2.56694,3.29964,4.93121,35.4412,2.84579,2.08542,2.5882,5.5294,8.1176,3.1176,1.6471,0.5,15.9706,Wing F,5.75346
48193,Jeff Dowtin,Rhode Island,A10,33,90.3,113.2,20.9,53.3,56.07,2.0,8.8,22.1,13.7,79,106,0.745,144,270,0.533,46,130,0.354,1.5,2.2,26.5,Jr,3-Jun,11,3.72714,117.183,1.6,2019,47774,all,45.6,2.06778907,59.0,90.0,85.0,180.0,0.6556,0.4722,7.0,8.0,0.875,,101.339,101.95,3.44918,201.054,3.70378,3.34382,0.359963,4.92704,36.5455,3.82538,1.10166,0.6667,2.7273,3.3939,3.697,1.3636,0.4545,15.303,Scoring PG,6.29403
48196,Tyus Battle,Syracuse,ACC,32,85.1,108.0,24.3,47.9,53.07,2.0,8.1,16.0,12.0,132,173,0.763,146,305,0.479,42,131,0.321,1.0,1.9,39.7,Jr,6-Jun,25,4.1109,120.211,2.4,2019,47779,all,93.4,1.40354813,74.0,113.0,72.0,192.0,0.6549,0.375,13.0,14.0,0.9286,,103.008,98.34,3.90578,180.469,2.6876,3.04267,-0.355078,3.62757,36.3125,2.72522,0.902352,0.6562,2.625,3.2812,2.5,1.1562,0.25,17.1875,Wing G,6.66856
48208,Sam Merrill,Utah St.,MWC,34,88.4,123.2,25.3,54.1,60.92,1.1,10.9,23.6,12.3,183,202,0.906,137,259,0.529,82,222,0.369,0.8,1.6,42.0,Jr,5-Jun,5,5.42334,131.661,2.8,2019,47902,all,14.4,2.16418538,77.0,122.0,60.0,137.0,0.6311,0.438,0.0,0.0,,60.0,99.078,98.7998,3.76152,212.894,5.65244,5.9641,-0.311665,7.17378,35.3429,6.066,1.10778,0.3429,3.6,3.9429,4.1429,1.0571,0.2571,20.8857,Scoring PG,10.4953
48216,Isaiah Wright,San Diego,WCC,31,82.5,104.4,21.4,51.9,56.9,1.1,12.0,24.7,21.2,99,126,0.786,88,161,0.547,49,150,0.327,0.1,2.2,40.5,Sr,2-Jun,22,2.76224,108.872,2.8,2019,47935,all,16.6,1.61111885,62.0,94.0,26.0,67.0,0.6596,0.3881,0.0,0.0,,,101.191,98.92,3.93932,202.857,2.4888,1.5446,0.944209,1.75337,37.7742,0.639421,1.11395,0.3226,3.7419,4.0645,4.6774,1.3871,0.0323,13.6129,Scoring PG,7.52951
48251,Justinian Jessup,Boise St.,MWC,32,88.3,114.0,20.0,55.5,57.0,1.8,14.9,15.4,10.8,38,50,0.76,80,164,0.488,84,207,0.406,1.8,1.7,13.5,Jr,6-Jun,3,3.36218,114.893,2.6,2019,48123,all,,2.00007492,32.0,52.0,48.0,112.0,0.6154,0.4286,4.0,4.0,1.0,51.0,103.456,103.64,3.16405,198.751,4.38999,3.66269,0.727302,4.31803,35.4848,3.85584,0.462194,0.4848,4.0303,4.5152,2.6667,1.0606,0.5152,14.0303,Wing G,10.9356
48263,Jordan Ford,Saint Mary's,WCC,34,91.9,119.9,27.5,55.7,59.49,1.7,7.7,14.9,11.7,136,170,0.8,185,351,0.527,70,170,0.412,0.1,2.1,32.6,Jr,1-Jun,3,5.96048,134.165,1.8,2019,48177,all,69.4,1.30766815,139.0,242.0,46.0,109.0,0.5744,0.422,0.0,0.0,,,102.853,99.9128,3.77044,190.025,5.44535,5.46894,-0.0235957,7.45578,36.9118,6.32873,1.12705,0.5,2.2941,2.7941,2.5,1.2647,0.0294,21.0588,Combo G,8.45521
48271,Kyle Guy,Virginia,ACC,38,87.6,120.4,21.2,58.5,60.93,2.7,12.6,11.9,12.2,70,84,0.833,78,159,0.491,120,282,0.426,0.2,1.3,19.0,Jr,2-Jun,5,5.17711,130.026,1.2,2019,48211,all,92.8,1.47171423,42.0,63.0,36.0,96.0,0.6667,0.375,2.0,2.0,1.0,55.0,95.7696,91.249,4.647,202.594,8.19312,6.86764,1.32548,8.92003,35.3947,7.07107,1.84896,0.7105,3.7895,4.5,2.0526,0.6842,0.0526,15.4211,Wing G,13.8133
48275,T.J. Gibbs,Notre Dame,ACC,32,87.4,103.7,21.2,43.1,47.5,1.1,4.6,20.2,9.1,87,115,0.757,71,187,0.38,67,211,0.318,0.2,2.0,28.9,Jr,3-Jun,10,2.84303,110.178,2.2,2019,48218,all,82.6,2.94602991,44.0,81.0,27.0,106.0,0.5432,0.2547,2.0,2.0,1.0,,109.044,103.907,3.22329,158.558,1.39608,2.73269,-1.3366,1.08591,36.0625,0.735685,0.350228,0.375,1.5312,1.9062,3.4062,1.1875,0.0625,13.4375,Scoring PG,10.9216
48280,Adam Grant,Bryant,NEC,30,88.8,104.9,22.0,51.4,54.23,2.6,7.2,9.8,13.8,64,81,0.79,82,186,0.441,80,207,0.386,0.3,1.8,20.6,Jr,1-Jun,11,2.05752,104.145,2.5,2019,48287,all,,0.82139605,46.0,96.0,36.0,90.0,0.4792,0.4,2.0,2.0,1.0,,113.956,118.217,1.38602,164.608,-2.42451,1.18418,-3.60869,-1.44014,35.5333,1.24419,-2.68433,0.8333,2.1,2.9333,1.5333,1.1333,0.1,15.6,Combo G,11.2083
48330,Tyler Hooker,Kennesaw St.,ASun,29,87.4,95.1,28.8,41.8,48.29,2.2,12.6,20.5,15.5,140,169,0.828,152,363,0.419,33,119,0.277,0.6,2.2,35.1,Jr,Jun-00,4,2.23897,105.305,2.3,2019,48597,all,,1.04544332,65.0,141.0,87.0,222.0,0.461,0.3919,1.0,2.0,0.5,,109.809,110.638,2.36118,185.702,-1.48789,0.474899,-1.96279,-0.0887272,36.2258,0.886208,-0.974936,0.7742,3.9677,4.7419,2.9677,1.5161,0.2258,18.9677,Combo G,6.39228
48343,Tahj Eaddy,Santa Clara,WCC,30,87.7,104.3,23.0,50.0,53.92,1.1,7.6,19.4,14.6,80,100,0.8,74,172,0.43,73,195,0.374,0.0,1.5,27.2,So,1-Jun,2,2.55994,108.48,2.3,2019,48741,all,17.4,1.58064997,27.0,57.0,47.0,115.0,0.4737,0.4087,1.0,1.0,1.0,,107.555,106.553,2.78933,156.468,-0.1603,1.63086,-1.79116,0.357679,35.5161,1.09789,-0.740208,0.2903,2.3871,2.6774,3.1613,0.9032,0.0,15.0323,Scoring PG,10.8911
48354,Darius Roy,Milwaukee,Horz,28,81.6,102.1,25.8,50.7,55.13,1.5,11.7,26.0,20.6,84,100,0.84,118,252,0.468,42,105,0.4,0.9,2.1,28.0,Jr,2-Jun,20,2.40721,107.307,3.0,2019,48812,all,,1.26882657,64.0,117.0,54.0,135.0,0.547,0.4,0.0,1.0,0.0,,109.03,109.357,2.43784,171.887,0.0217895,0.845351,-0.823562,0.46882,35.0345,0.965858,-0.497038,0.4483,3.6207,4.069,4.069,1.2414,0.2414,15.8276,Scoring PG,6.20229
48389,Maurice Howard,Alcorn St.,SWAC,27,92.3,95.3,20.2,54.1,56.62,1.2,8.8,21.2,28.5,36,41,0.878,43,98,0.439,72,181,0.398,0.2,2.0,14.7,Jr,1-Jun,11,0.667956,92.6745,1.8,2019,49036,all,,1.0,14.0,28.0,29.0,70.0,0.5,0.4143,0.0,0.0,,,111.285,117.515,1.52941,147.599,-4.25552,-1.08901,-3.16651,-4.13877,36.4516,-1.32039,-2.81839,0.4194,2.871,3.2903,3.4839,1.1613,0.0645,13.7419,Scoring PG,10.7216
48399,Jordan Chatman,Boston College,ACC,27,76.3,105.2,19.0,47.3,52.41,1.4,5.3,11.6,12.7,77,94,0.819,54,131,0.412,57,164,0.348,0.5,0.5,31.9,Sr,5-Jun,25,2.599,108.891,2.0,2019,49173,all,,1.37495775,20.0,43.0,34.0,88.0,0.4651,0.3864,0.0,0.0,,,112.041,107.389,2.67612,121.81,-0.688683,1.54433,-2.23301,-0.536639,35.5926,0.971211,-1.50785,0.4444,1.7778,2.2222,2.037,0.2963,0.1481,13.1852,Combo G,9.91611
48429,D'Marcus Simonds,Georgia St.,SB,33,90.1,94.3,31.2,46.5,49.95,2.4,12.9,21.3,18.4,128,195,0.656,158,323,0.489,56,197,0.284,3.4,2.0,37.5,Jr,3-Jun,15,2.4855,107.338,2.7,2019,49264,all,61.0,0.9839793,127.0,227.0,31.0,96.0,0.5595,0.3229,15.0,17.0,0.8824,,103.863,102.703,3.34509,224.504,-0.0525623,-0.398977,0.346415,0.0139031,35.7059,0.581428,-0.567525,0.7353,4.2353,4.9706,3.6176,1.2647,0.9706,18.3824,Combo G,9.32571
48439,Brandon Childress,Wake Forest,ACC,31,90.2,107.3,21.7,49.1,55.17,1.2,10.8,24.4,19.9,121,152,0.796,57,141,0.404,74,201,0.368,0.1,2.5,44.4,Jr,Jun-00,0,3.39851,114.591,2.6,2019,49373,all,61.8,1.48809825,38.0,72.0,19.0,69.0,0.5278,0.2754,0.0,0.0,,,109.139,104.347,3.14532,196.793,3.84038,3.74707,0.0933051,3.26569,36.3871,2.43538,0.830309,0.4194,3.3548,3.7742,4.0323,1.5484,0.0323,14.7419,Scoring PG,10.3426
48492,Lamar Stevens,Penn St.,B10,32,91.1,99.4,29.8,44.0,49.62,4.8,19.7,13.4,14.8,157,204,0.77,210,454,0.463,20,91,0.22,2.4,1.1,37.4,Jr,8-Jun,11,3.93646,118.583,2.8,2019,49591,all,80.6,0.74158638,101.0,150.0,109.0,304.0,0.6733,0.3586,24.0,24.0,1.0,,100.705,95.0176,4.35586,209.714,2.46774,0.899614,1.56812,3.81089,36.875,2.79473,1.01617,1.6562,6.0,7.6562,2.0625,0.6875,0.8125,19.9062,Wing F,4.51975
48567,Jalen Crutcher,Dayton,A10,33,90.2,104.5,22.7,51.5,53.72,1.0,11.3,28.3,19.8,58,82,0.707,83,172,0.483,70,193,0.363,0.4,1.5,22.5,So,1-Jun,10,2.88439,110.5,1.5,2019,50276,all,34.6,2.07776923,58.0,95.0,25.0,77.0,0.6105,0.3247,3.0,4.0,0.75,,101.553,100.226,3.65934,200.162,2.32423,2.43497,-0.110742,2.37954,36.4848,2.28978,0.0897677,0.2727,3.7273,4.0,5.6667,0.8788,0.1212,13.1515,Scoring PG,9.63339
48679,James Batemon,Loyola Marymount,WCC,32,90.8,102.9,27.4,47.5,55.03,2.1,9.1,23.3,19.7,163,198,0.823,125,250,0.5,41,143,0.287,0.1,2.6,50.4,Sr,1-Jun,5,3.18767,112.756,2.7,2019,50486,all,,1.18445896,77.0,135.0,48.0,115.0,0.5704,0.4174,4.0,4.0,1.0,,101.316,101.064,3.5778,188.039,1.31183,1.85361,-0.541782,1.52348,35.2941,1.50021,0.0232674,0.6176,2.4706,3.0882,3.5882,1.5882,0.0294,16.3824,Scoring PG,7.65242
48722,Holland Woods,Portland St.,BSky,29,89.4,99.2,24.6,44.0,50.58,1.2,9.1,29.5,24.3,121,156,0.776,104,226,0.46,33,123,0.268,0.2,2.2,44.7,So,Jun-00,3,1.6675,100.896,2.5,2019,50560,all,,1.5,60.0,105.0,44.0,121.0,0.5714,0.3636,0.0,0.0,,,111.074,113.742,1.95017,163.114,-3.51332,-0.356566,-3.15675,-2.8906,35.6452,-0.37502,-2.51558,0.3871,2.6452,3.0323,5.3226,1.5806,0.0645,15.0323,Scoring PG,6.69261
48779,Zach Cooks,NJIT,ASun,34,92.6,104.6,24.6,52.7,55.97,1.9,12.7,12.7,14.2,112,153,0.732,139,264,0.527,71,202,0.351,0.2,3.8,32.8,So,9-May,4,2.72701,108.686,2.1,2019,50648,all,,0.96053236,104.0,175.0,35.0,89.0,0.5943,0.3933,0.0,0.0,,,97.1337,99.441,3.8562,267.102,2.69091,1.90122,0.789686,3.33802,37.2571,1.60881,1.72921,0.6286,4.2,4.8286,2.0857,2.5143,0.0571,17.6286,Combo G,9.24154
48794,Ja Morant,Murray St.,OVC,31,93.5,115.6,36.0,54.7,60.77,4.1,12.6,51.4,22.0,211,259,0.815,194,356,0.545,56,152,0.368,2.2,2.4,51.0,So,3-Jun,12,6.4241,136.933,1.6,2019,50678,all,,1.92941848,160.0,264.0,34.0,92.0,0.6061,0.3696,28.0,31.0,0.9032,2.0,97.0275,97.5625,4.14151,228.668,8.98151,6.94206,2.03945,9.95298,36.6061,8.27687,1.67611,1.2121,4.4848,5.697,9.9394,1.7576,0.8182,24.4848,Pure PG,7.32938
48808,Naji Marshall,Xavier,BE,33,83.5,95.1,25.6,45.1,49.45,3.0,19.9,18.5,21.2,104,144,0.722,118,248,0.476,48,173,0.277,0.7,1.9,34.2,So,7-Jun,13,2.23174,105.625,3.0,2019,50704,all,88.6,1.03703359,61.0,102.0,57.0,146.0,0.598,0.3904,8.0,9.0,0.8889,,102.658,97.8876,3.87841,228.098,1.3438,0.176129,1.16767,0.997749,35.9394,0.0353215,0.962428,0.8788,6.303,7.1818,3.3939,1.1212,0.2121,14.6667,Wing F,8.69314
